iter	MAE
0	12632.99953
1	12581.59486
2	12527.35779
3	12476.40105
4	12424.50004
5	12360.46545
6	12305.03007
7	12268.84593
8	12235.38031
9	12194.18627
10	12158.47269
11	12125.91154
12	12077.32458
13	12049.35971
14	12011.48869
15	11984.69289
16	11967.98658
17	11936.59176
18	11903.5513
19	11865.04381
20	11833.74851
21	11824.28305
22	11796.20837
23	11772.14115
24	11764.33338
25	11742.01398
26	11733.67786
27	11714.33579
28	11703.5291
29	11683.56067
30	11677.05494
31	11656.22205
32	11645.20831
33	11623.70174
34	11616.93196
35	11607.87092
36	11604.11005
37	11595.84452
38	11584.61294
39	11569.97873
40	11558.94441
41	11551.81981
42	11539.17003
43	11526.7312
44	11524.2075
45	11517.31587
46	11514.67454
47	11511.47115
48	11501.25096
49	11489.19978
50	11483.2769
51	11478.34804
52	11468.52471
53	11465.63465
54	11463.72775
55	11456.2233
56	11453.8423
57	11444.79811
58	11437.18465
59	11428.38957
60	11426.12904
61	11423.49806
62	11421.2049
63	11417.99099
64	11413.85053
65	11397.84281
66	11395.30221
67	11393.45721
68	11388.05932
69	11382.808
70	11381.03938
71	11363.36852
72	11354.54908
73	11353.82546
74	11350.86129
75	11350.09054
76	11338.76757
77	11337.98617
78	11337.45599
79	11336.18352
80	11331.34352
81	11324.60676
82	11313.30097
83	11305.75818
84	11294.44458
85	11293.12216
86	11292.58482
87	11282.48494
88	11279.49297
89	11278.3515
90	11277.68653
91	11277.36201
92	11274.94319
93	11273.57483
94	11273.05496
95	11267.61471
96	11267.39771
97	11266.77858
98	11265.97385
99	11262.731
100	11262.2762
101	11256.56145
102	11249.34032
103	11246.97503
104	11240.93994
105	11239.6153
106	11237.14499
107	11232.23137
108	11227.68953
109	11222.63559
110	11220.08897
111	11219.38632
112	11213.17104
113	11209.73151
114	11209.23897
115	11208.83904
116	11206.21249
117	11204.30026
118	11202.65882
119	11197.10891
120	11196.7021
121	11196.6175
122	11196.28591
123	11193.77283
124	11193.22638
125	11191.7578
126	11188.47206
127	11188.13562
128	11182.05306
129	11179.52239
130	11179.20915
131	11172.1392
132	11171.45432
133	11170.20567
134	11168.59453
135	11166.88253
136	11162.9296
137	11162.60429
138	11162.28423
139	11161.6493
140	11161.1968
141	11159.81463
142	11154.74296
143	11147.02915
144	11141.47519
145	11135.95613
146	11135.61445
147	11127.90635
148	11122.13342
149	11121.75757
150	11118.29861
151	11118.06007
152	11113.81426
153	11113.55342
154	11107.90925
155	11107.80822
156	11103.917
157	11097.79984
158	11097.40553
159	11092.87193
160	11092.68349
161	11088.83148
162	11084.65075
163	11082.94953
164	11082.63528
165	11082.26593
166	11078.4994
167	11078.25384
168	11078.02661
169	11077.65983
170	11075.93775
171	11075.34161
172	11075.19575
173	11074.32401
174	11072.67993
175	11069.72192
176	11067.90551
177	11065.77742
178	11065.62176
179	11061.14769
180	11055.79099
181	11055.60312
182	11055.0822
183	11054.974
184	11051.06598
185	11050.74302
186	11050.55777
187	11046.71485
188	11046.54485
189	11046.51717
190	11042.61715
191	11041.85145
192	11041.6005
193	11039.13806
194	11035.54223
195	11035.3411
196	11034.99726
197	11033.6816
198	11033.57988
199	11031.39219
200	11031.21022
201	11028.4481
202	11027.75605
203	11026.97855
204	11025.23053
205	11024.01183
206	11023.81214
207	11019.40837
208	11016.70272
209	11016.53705
210	11016.15905
211	11014.69359
212	11013.32583
213	11009.89121
214	11009.06437
215	11008.8246
216	11007.09972
217	11005.17991
218	11005.05375
219	11004.99879
220	11003.70552
221	11002.85569
222	11002.49172
223	11002.32695
224	11001.91838
225	11001.57686
226	10995.54431
227	10995.20926
228	10994.55622
229	10993.83094
230	10992.88486
231	10992.81724
232	10990.32448
233	10990.22149
234	10989.91995
235	10981.39143
236	10981.28327
237	10980.24638
238	10979.02052
239	10978.94387
240	10976.50802
241	10973.79257
242	10971.85494
243	10970.8759
244	10969.64416
245	10968.50751
246	10967.43508
247	10965.17757
248	10965.13333
249	10964.88804
250	10964.80566
251	10963.65732
252	10961.81364
253	10961.73274
254	10958.01572
255	10956.85221
256	10956.59402
257	10956.42044
258	10955.48856
259	10955.33435
260	10955.08513
261	10954.65771
262	10954.27324
263	10950.95921
264	10950.65295
265	10945.50506
266	10945.30469
267	10944.75717
268	10944.39466
269	10943.6161
270	10937.75472
271	10936.6035
272	10931.22641
273	10930.72186
274	10930.43991
275	10930.36777
276	10928.36457
277	10927.89198
278	10922.57166
279	10917.48688
280	10914.5903
281	10914.337
282	10912.56283
283	10912.35232
284	10912.1425
285	10908.47296
286	10908.41506
287	10908.19437
288	10908.08128
289	10904.49734
290	10902.8753
291	10902.42665
292	10902.12146
293	10900.42719
294	10899.70146
295	10899.10178
296	10898.99818
297	10898.46043
298	10897.25338
299	10894.93284
