iter	Passed	Remaining
0	98	22594
1	177	20251
2	273	20659
3	354	20015
4	442	19927
5	521	19451
6	608	19393
7	688	19101
8	791	19434
9	891	19602
10	977	19454
11	1093	19863
12	1165	19454
13	1236	19079
14	1338	19190
15	1429	19115
16	1515	18987
17	1602	18870
18	1690	18772
19	1782	18713
20	1875	18662
21	1967	18597
22	2048	18437
23	2146	18420
24	2218	18192
25	2308	18112
26	2388	17955
27	2456	17724
28	2559	17740
29	2637	17584
30	2722	17476
31	2806	17367
32	2905	17344
33	2999	17291
34	3073	17122
35	3141	16927
36	3250	16954
37	3369	17026
38	3450	16896
39	3538	16806
40	3634	16755
41	3715	16629
42	3796	16511
43	3872	16370
44	3943	16210
45	4039	16156
46	4232	16479
47	4329	16417
48	4409	16287
49	4494	16178
50	4571	16045
51	4667	15977
52	4751	15866
53	4847	15799
54	4922	15661
55	5033	15639
56	5131	15574
57	5222	15485
58	5295	15347
59	5419	15354
60	5521	15297
61	5595	15162
62	5693	15093
63	5806	15061
64	5892	14956
65	5989	14882
66	6077	14785
67	6166	14690
68	6264	14616
69	6350	14515
70	6439	14420
71	6502	14269
72	6576	14144
73	6624	13964
74	6679	13804
75	6726	13630
76	6770	13453
77	6826	13302
78	6883	13156
79	6951	13034
80	6993	12864
81	7034	12696
82	7083	12544
83	7139	12408
84	7194	12272
85	7245	12132
86	7288	11979
87	7333	11833
88	7373	11681
89	7416	11536
90	7469	11410
91	7525	11288
92	7589	11180
93	7651	11069
94	7710	10957
95	7765	10839
96	7814	10714
97	7860	10587
98	7902	10457
99	7942	10325
100	7979	10191
101	8018	10062
102	8056	9933
103	8096	9808
104	8137	9687
105	8177	9565
106	8219	9448
107	8259	9330
108	8298	9211
109	8335	9093
110	8374	8977
111	8411	8862
112	8448	8747
113	8495	8644
114	8540	8540
115	8586	8438
116	8634	8339
117	8681	8240
118	8726	8140
119	8768	8037
120	8808	7934
121	8848	7832
122	8887	7731
123	8926	7630
124	8965	7531
125	9005	7433
126	9042	7333
127	9077	7233
128	9115	7137
129	9150	7038
130	9187	6942
131	9223	6847
132	9276	6765
133	9322	6678
134	9365	6590
135	9406	6501
136	9445	6412
137	9486	6324
138	9529	6238
139	9575	6155
140	9618	6071
141	9660	5986
142	9699	5901
143	9738	5816
144	9776	5731
145	9817	5648
146	9856	5565
147	9896	5483
148	9938	5402
149	9977	5321
150	10014	5239
151	10053	5159
152	10089	5077
153	10126	4997
154	10163	4917
155	10200	4838
156	10237	4760
157	10272	4681
158	10314	4605
159	10350	4528
160	10384	4450
161	10421	4374
162	10461	4300
163	10499	4225
164	10538	4151
165	10580	4079
166	10619	4006
167	10658	3933
168	10696	3860
169	10732	3788
170	10772	3716
171	10811	3645
172	10850	3574
173	10894	3506
174	10937	3437
175	10991	3372
176	11043	3306
177	11092	3240
178	11145	3175
179	11200	3111
180	11249	3045
181	11298	2979
182	11344	2913
183	11388	2847
184	11430	2780
185	11472	2713
186	11513	2647
187	11555	2581
188	11595	2515
189	11642	2451
190	11739	2397
191	11833	2342
192	11936	2288
193	12037	2233
194	12132	2177
195	12243	2123
196	12323	2064
197	12413	2006
198	12498	1946
199	12596	1889
200	12705	1833
201	12806	1775
202	12911	1717
203	12992	1655
204	13095	1597
205	13196	1537
206	13275	1475
207	13350	1412
208	13431	1349
209	13515	1287
210	13615	1226
211	13843	1175
212	13921	1111
213	14017	1048
214	14099	983
215	14302	927
216	14400	862
217	14482	797
218	14566	731
219	14650	665
220	14751	600
221	14836	534
222	14935	468
223	15043	402
224	15128	336
225	15218	269
226	15314	202
227	15395	135
228	15479	67
229	15569	0
